Easting [m,Northig [m,Hydro_FT-2D_MAP 2010 [m]
4573611.15,5304584.92,-0.10
4573592.37,5304620.30,-0.13
4573586.88,5304662.41,-0.10
4573576.82,5304746.52,0.51
4573581.71,5304704.49,0.33
4573558.57,5304781.89,0.58
4573600.06,5304541.20,-0.10
4573598.24,5304578.20,0.08
4573579.29,5304613.58,-0.01
4573573.59,5304655.68,-0.15
4573568.29,5304697.79,0.02
4573563.29,5304739.86,0.42
4573540.71,5304817.44,0.69
4573544.87,5304775.24,0.51
4573585.37,5304571.50,-0.21
4573566.22,5304606.88,-0.37
4573560.33,5304648.97,-0.16
4573554.82,5304691.06,-0.17
4573549.70,5304733.18,0.09
4573522.85,5304852.99,0.78
4573531.11,5304768.56,0.15
4573526.98,5304810.88,0.51
4573504.98,5304888.54,0.79
4573547.07,5304642.26,-0.49
4573541.38,5304684.35,-0.30
4573536.04,5304726.44,-0.19
4573509.10,5304846.52,0.51
4573517.27,5304761.83,-0.21
4573513.23,5304804.30,0.08
4573487.12,5304924.09,0.81
4573491.22,5304882.16,0.48
4573527.93,5304677.65,-0.54
4573522.42,5304719.74,-0.41
4573495.35,5304840.05,0.02
4573503.47,5304755.13,-0.48
4573499.40,5304797.68,-0.36
4573469.26,5304959.64,0.77
4573473.33,5304917.80,0.45
4573477.47,5304875.79,-0.05
4573508.78,5304713.03,-0.49
4573481.52,5304833.53,-0.49
4573489.63,5304748.41,-0.34
4573485.60,5304791.08,-0.63
4573454.50,5304989.70,0.68
4573455.45,5304953.44,0.42
4573459.58,5304911.53,-0.13
4573463.65,5304869.38,-0.66
4573467.73,5304827.03,-0.75
4573471.77,5304784.47,-0.40
4573439.74,5305019.75,0.53
4573440.93,5304983.64,0.44
4573441.70,5304947.28,-0.19
4573445.78,5304905.24,-0.81
4573449.85,5304862.99,-0.83
4573453.91,5304820.53,-0.34
4573424.98,5305049.80,0.39
4573426.41,5305013.83,0.41
4573410.23,5305079.86,0.28
4573427.42,5304977.60,-0.11
4573427.91,5304941.09,-0.89
4573431.98,5304898.94,-0.85
4573436.05,5304856.59,-0.20
4573395.47,5305109.91,0.14
4573411.90,5305044.02,0.36
4573413.14,5305007.92,-0.06
4573397.38,5305074.21,0.33
4573413.87,5304971.54,-0.77
4573414.11,5304934.90,-0.79
4573418.19,5304892.65,0.04
4573380.71,5305139.97,-0.02
4573382.86,5305104.40,0.26
4573398.86,5305038.24,-0.02
4573399.83,5305002.00,-0.62
4573384.57,5305068.56,0.04
4573400.32,5304965.49,-0.70
4573400.33,5304928.71,0.10
4573368.70,5305171.16,-0.14
4573368.35,5305134.59,0.23
4573370.29,5305098.88,0.10
4573385.79,5305032.46,-0.46
4573386.52,5304996.08,-0.66
4573371.75,5305062.91,-0.35
4573386.77,5304959.43,-0.03
4573356.69,5305202.34,-0.20
4573356.02,5305165.65,0.13
4573356.01,5305129.20,0.16
4573357.71,5305093.37,-0.21
4573372.73,5305026.67,-0.59
4573373.21,5304990.16,-0.23
4573358.93,5305057.27,-0.56
4573344.68,5305233.53,-0.38
4573343.69,5305196.71,0.08
4573343.34,5305160.14,0.12
4573343.68,5305123.83,-0.12
4573345.14,5305087.86,-0.45
4573359.66,5305020.88,-0.32
4573346.10,5305051.61,-0.41
4573332.67,5305264.72,-0.47
4573331.36,5305227.77,-0.01
4573330.68,5305191.07,0.08
4573330.67,5305154.63,-0.09
4573331.34,5305118.45,-0.42
4573332.54,5305082.33,-0.42
4573320.66,5305295.90,-0.54
4573319.04,5305258.84,-0.09
4573308.65,5305327.09,-0.45
4573318.02,5305222.00,0.07
4573317.67,5305185.43,-0.07
4573318.00,5305149.12,-0.34
4573318.98,5305113.06,-0.45
4573295.25,5305357.85,-0.33
4573306.71,5305289.90,-0.19
4573305.35,5305252.94,0.04
4573294.38,5305320.96,-0.26
4573304.67,5305216.23,-0.02
4573304.67,5305179.79,-0.29
4573305.31,5305143.60,-0.36
4573281.85,5305388.61,-0.21
4573280.98,5305351.70,-0.24
4573292.69,5305283.87,-0.01
4573291.67,5305247.03,0.03
4573280.02,5305314.80,-0.08
4573291.33,5305210.46,-0.21
4573291.64,5305174.14,-0.30
4573268.45,5305419.37,-0.14
4573267.57,5305382.45,-0.20
4573266.62,5305345.53,-0.07
4573278.67,5305277.83,0.07
4573277.99,5305241.13,-0.14
4573265.67,5305308.63,0.11
4573277.97,5305204.68,-0.21
4573255.05,5305450.12,-0.12
4573254.16,5305413.19,-0.13
4573253.22,5305376.26,-0.06
4573252.27,5305339.35,0.11
4573264.65,5305271.80,-0.07
4573264.30,5305235.22,-0.14
4573251.31,5305302.47,-0.03
4573241.65,5305480.88,-0.14
4573240.76,5305443.93,-0.01
4573239.82,5305406.99,-0.05
4573238.88,5305370.07,0.09
4573237.92,5305333.18,-0.05
4573250.63,5305265.76,-0.08
4573236.96,5305296.30,-0.05
4573228.25,5305511.64,-0.20
4573227.35,5305474.67,0.09
4573226.42,5305437.72,0.00
4573225.48,5305400.79,0.04
4573224.53,5305363.88,-0.08
4573223.58,5305327.00,-0.13
4573212.87,5305548.61,-0.05
4573213.94,5305505.42,0.15
4573213.02,5305468.45,0.06
4573197.50,5305585.57,0.10
4573182.12,5305622.54,0.27
4573212.09,5305431.51,-0.03
4573211.15,5305394.59,-0.14
4573210.20,5305357.70,-0.21
4573198.31,5305542.30,0.25
4573199.62,5305499.18,0.11
4573198.69,5305462.23,-0.11
4573182.68,5305579.19,0.32
4573166.75,5305659.50,0.44
4573167.05,5305616.07,0.38
4573197.76,5305425.30,-0.19
4573196.82,5305388.39,-0.28
4573183.74,5305535.99,0.10
4573185.30,5305492.95,-0.16
4573184.37,5305456.01,-0.25
4573167.86,5305572.79,0.10
4573151.37,5305696.47,0.74
4573151.41,5305652.96,0.44
4573151.98,5305609.60,0.08
4573183.45,5305419.09,-0.34
4573169.17,5305529.67,-0.25
4573170.98,5305486.71,-0.29
4573170.07,5305449.79,-0.38
4573153.03,5305566.40,-0.30
4573134.01,5305732.70,0.77
4573135.78,5305689.84,0.66
4573136.09,5305646.40,0.07
4573136.90,5305603.13,-0.35
4573154.60,5305523.36,-0.31
4573156.69,5305480.49,-0.40
4573138.21,5305560.01,-0.32
4573116.66,5305768.93,0.64
4573118.71,5305726.19,0.63
4573120.21,5305683.21,0.07
4573120.77,5305639.86,-0.36
4573121.83,5305596.66,-0.33
4573140.06,5305517.06,-0.34
4573123.43,5305553.63,-0.24
4573099.30,5305805.17,0.54
4573101.64,5305762.55,0.50
4573103.41,5305719.68,0.12
4573104.64,5305676.59,-0.36
4573105.44,5305633.31,-0.37
4573106.79,5305590.21,-0.26
4573081.95,5305841.40,0.38
4573084.57,5305798.90,0.38
4573086.62,5305756.15,0.14
4573088.12,5305713.18,-0.40
4573089.06,5305669.96,-0.36
4573090.16,5305626.78,-0.31
4573064.59,5305877.63,0.09
4573067.50,5305835.25,0.26
4573069.82,5305792.62,0.15
4573071.59,5305749.76,-0.47
4573072.81,5305706.66,-0.49
4573073.53,5305663.35,-0.27
4573052.51,5305908.83,-0.07
4573050.42,5305871.60,0.13
4573053.02,5305829.09,0.17
4573055.07,5305786.35,-0.51
4573056.56,5305743.36,-0.62
4573057.54,5305700.16,-0.21
4573040.43,5305940.03,-0.13
4573038.18,5305902.74,-0.04
4573036.22,5305865.56,0.20
4573038.55,5305822.94,-0.56
4573040.31,5305780.07,-0.70
4573041.56,5305736.98,-0.24
4573028.34,5305971.23,-0.25
4573025.93,5305933.87,-0.22
4573023.81,5305896.63,0.25
4573022.03,5305859.52,-0.52
4573024.07,5305816.77,-0.73
4573025.57,5305773.79,-0.25
4573016.26,5306002.43,-0.28
4573013.68,5305965.01,-0.46
4573011.40,5305927.70,0.27
4573009.45,5305890.53,-0.18
4573007.82,5305853.47,-0.69
4573009.59,5305810.61,-0.18
4573004.18,5306033.63,-0.26
4572992.10,5306064.83,-0.15
4573001.44,5305996.14,-0.63
4572998.98,5305958.77,0.25
4572996.87,5305921.53,0.18
4572995.08,5305884.41,-0.30
4572993.60,5305847.42,-0.16
4572979.39,5306095.95,-0.20
4572989.19,5306027.27,-0.76
4572976.94,5306058.41,-0.41
4572986.57,5305989.83,0.25
4572984.29,5305952.53,0.49
4572982.34,5305915.35,0.12
4572980.71,5305878.30,-0.04
4572966.68,5306127.06,-0.20
4572964.59,5306089.65,-0.54
4572974.16,5306020.90,0.24
4572961.75,5306051.97,0.30
4572971.71,5305983.53,0.79
4572969.61,5305946.29,0.52
4572967.83,5305909.18,0.05
4572953.97,5306158.17,-0.28
4572952.24,5306120.89,-0.69
4572949.76,5306083.34,0.17
4572959.13,5306014.53,1.05
4572946.55,5306045.53,1.29
4572956.87,5305977.23,0.92
4572954.94,5305940.06,0.24
4572939.88,5306152.13,-0.71
4572941.27,5306189.29,-0.37
4572937.77,5306114.71,0.09
