Easting [m],Northig [m],dz
4573384.57,5305068.56,-0.26
4573400.32,5304965.49,-1.3
4573400.33,5304928.71,-0.03
4573368.7,5305171.16,-0.37
4573368.35,5305134.59,0.12
4573370.29,5305098.88,-0.21
4573385.79,5305032.46,-0.99
4573386.52,5304996.08,-1.33
4573371.75,5305062.91,-0.95
4573386.77,5304959.43,-0.17
4573356.69,5305202.34,-0.36
4573356.02,5305165.65,-0.03
4573356.01,5305129.2,-0.18
4573357.71,5305093.37,-0.92
4573372.73,5305026.67,-1.35
4573373.21,5304990.16,-0.32
4573358.93,5305057.27,-1.38
4573344.68,5305233.53,-0.34
4573343.69,5305196.71,-0.19
4573343.34,5305160.14,-0.29
4573343.68,5305123.83,-0.9
4573345.14,5305087.86,-1.21
4573359.66,5305020.88,-0.46
4573346.1,5305051.61,-0.61
4573332.67,5305264.72,-0.2
4573331.36,5305227.77,-0.32
4573330.68,5305191.07,-0.39
4573330.67,5305154.63,-0.9
4573331.34,5305118.45,-1.24
4573332.54,5305082.33,-0.76
4573320.66,5305295.9,0
4573319.04,5305258.84,-0.41
4573308.65,5305327.09,0.1
4573318.02,5305222,-0.47
4573317.67,5305185.43,-0.91
4573318,5305149.12,-1.19
4573318.98,5305113.06,-0.87
4573295.25,5305357.85,0.03
4573306.71,5305289.9,-0.49
4573305.35,5305252.94,-0.59
4573294.38,5305320.96,-0.57
4573304.67,5305216.23,-0.92
4573304.67,5305179.79,-1.34
4573305.31,5305143.6,-0.74
4573281.85,5305388.61,-0.04
4573280.98,5305351.7,-0.58
4573292.69,5305283.87,-0.7
4573291.67,5305247.03,-0.94
4573280.02,5305314.8,-0.82
4573291.33,5305210.46,-1.09
4573291.64,5305174.14,-0.58
4573268.45,5305419.37,-0.1
4573267.57,5305382.45,-0.58
4573266.62,5305345.53,-0.82
4573278.67,5305277.83,-0.94
4573277.99,5305241.13,-1.04
4573265.67,5305308.63,-0.97
4573277.97,5305204.68,-0.44
4573255.05,5305450.12,-0.16
4573254.16,5305413.19,-0.57
4573253.22,5305376.26,-0.81
4573252.27,5305339.35,-0.94
4573264.65,5305271.8,-1.19
4573264.3,5305235.22,-0.37
4573251.31,5305302.47,-1.13
4573241.65,5305480.88,-0.3
4573240.76,5305443.93,-0.58
4573239.82,5305406.99,-0.82
4573238.88,5305370.07,-0.91
4573237.92,5305333.18,-1.1
4573250.63,5305265.76,-0.31
4573236.96,5305296.3,-0.22
4573228.25,5305511.64,-0.45
4573227.35,5305474.67,-0.58
4573226.42,5305437.72,-0.82
4573225.48,5305400.79,-0.88
4573224.53,5305363.88,-1.06
4573223.58,5305327,-0.23
4573212.87,5305548.61,-0.27
4573213.94,5305505.42,-0.58
4573213.02,5305468.45,-0.82
4573197.5,5305585.57,-0.16
4573182.12,5305622.54,-0.09
4573212.09,5305431.51,-0.86
4573211.15,5305394.59,-1.01
4573210.2,5305357.7,-0.2
4573198.31,5305542.3,-0.47
4573199.62,5305499.18,-0.82
4573198.69,5305462.23,-0.82
4573182.68,5305579.19,-0.38
4573166.75,5305659.5,-0.04
4573167.05,5305616.07,-0.27
4573197.76,5305425.3,-0.95
4573196.82,5305388.39,-0.18
4573183.74,5305535.99,-0.74
4573185.3,5305492.95,-0.79
4573184.37,5305456.01,-0.91
4573167.86,5305572.79,-0.67
4573151.37,5305696.47,0.09
4573151.41,5305652.96,-0.2
4573151.98,5305609.6,-0.6
4573183.45,5305419.09,-0.17
4573169.17,5305529.67,-0.76
4573170.98,5305486.71,-0.85
4573170.07,5305449.79,-0.14
4573153.03,5305566.4,-0.73
4573134.01,5305732.7,-0.16
4573135.78,5305689.84,-0.04
4573136.09,5305646.4,-0.53
4573136.9,5305603.13,-0.68
4573154.6,5305523.36,-0.75
4573156.69,5305480.49,-0.12
4573138.21,5305560.01,-0.72
4573116.66,5305768.93,-0.4
4573118.71,5305726.19,-0.06
4573120.21,5305683.21,-0.46
4573120.77,5305639.86,-0.64
4573121.83,5305596.66,-0.68
4573140.06,5305517.06,-0.01
4573123.43,5305553.63,0.01
4573099.3,5305805.17,-0.45
4573101.64,5305762.55,-0.22
4573103.41,5305719.68,-0.38
4573104.64,5305676.59,-0.61
4573105.44,5305633.31,-0.62
4573106.79,5305590.21,0.03
4573081.95,5305841.4,-0.43
4573084.57,5305798.9,-0.28
4573086.62,5305756.15,-0.35
4573088.12,5305713.18,-0.66
4573089.06,5305669.96,-0.58
4573090.16,5305626.78,0.25
4573064.59,5305877.63,-0.39
4573067.5,5305835.25,-0.25
4573069.82,5305792.62,-0.3
4573071.59,5305749.76,-0.74
4573072.81,5305706.66,-0.73
4573073.53,5305663.35,0.83
4573052.51,5305908.83,-0.37
4573050.42,5305871.6,-0.21
4573053.02,5305829.09,-0.3
4573055.07,5305786.35,-0.81
4573056.56,5305743.36,-0.87
4573057.54,5305700.16,0.73
4573040.43,5305940.03,-0.37
4573038.18,5305902.74,-0.3
4573036.22,5305865.56,-0.31
4573038.55,5305822.94,-0.87
4573040.31,5305780.07,-1.02
4573041.56,5305736.98,0.61
4573028.34,5305971.23,-0.37
4573025.93,5305933.87,-0.39
4573023.81,5305896.63,-0.17
4573022.03,5305859.52,-0.97
4573024.07,5305816.77,-1.13
4573025.57,5305773.79,0.51
4573016.26,5306002.43,-0.32
4573013.68,5305965.01,-0.4
4573011.4,5305927.7,-0.04
4573009.45,5305890.53,-0.69
4573007.82,5305853.47,-1.26
4573009.59,5305810.61,0.22
4573004.18,5306033.63,-0.28
4572992.1,5306064.83,-0.15
4573001.44,5305996.14,-0.41
4572998.98,5305958.77,0.09
4572996.87,5305921.53,-0.41
4572995.08,5305884.41,-0.94
4572993.6,5305847.42,-0.01
4572979.39,5306095.95,-0.17
4572989.19,5306027.27,-0.44
4572976.94,5306058.41,-0.05
4572986.57,5305989.83,0.21
4572984.29,5305952.53,-0.13
4572982.34,5305915.35,-0.62
4572980.71,5305878.3,-0.14
4572966.68,5306127.06,-0.19
4572964.59,5306089.65,-0.23
4572974.16,5306020.9,0.33
4572961.75,5306051.97,0.44
4572971.71,5305983.53,0.17
4572969.61,5305946.29,-0.3
4572967.83,5305909.18,-0.09
4572953.97,5306158.17,-0.22
4572952.24,5306120.89,-0.4
4572949.76,5306083.34,0.33
4572959.13,5306014.53,0.43
4572946.55,5306045.53,0.69
4572956.87,5305977.23,0.03
4572954.94,5305940.06,-0.1
4572939.88,5306152.13,-0.55
4572941.27,5306189.29,-0.36
4572937.77,5306114.71,0.23
4572934.91,5306077.03,0.46
4572944.13,5306008.17,0.36
4572931.39,5306039.1,-0.02
4572942.05,5305970.95,-0.13
4572925.78,5306146.09,0.16
4572927.53,5306183.37,-0.69
4572928.56,5306220.4,0.01
4572923.28,5306108.53,0.29
4572920.12,5306070.73,-0.1
4572929.17,5306001.83,-0.15
4572916.28,5306032.71,0.35
4572911.65,5306140.03,0.11
4572913.79,5306177.46,0.18
4572915.17,5306214.62,-0.84
4572915.85,5306251.52,0.01
4572908.84,5306102.36,-0.18
4572905.39,5306064.48,0
4572897.56,5306133.99,-0.28
4572900.02,5306171.53,-0.03
4572901.8,5306208.83,0.19
4572902.82,5306245.86,-0.97
4572898.72,5306287.91,-0.51
4572881.58,5306324.3,-0.4
4572894.5,5306096.25,-0.12
4572883.61,5306128.01,-0.24
4572886.28,5306165.62,-0.36
4572888.39,5306203.03,-0.2
4572889.81,5306240.2,0.17
4572885.43,5306282.15,-0.86
4572864.45,5306360.7,-0.42
4572868.04,5306318.44,-0.72
4572847.31,5306397.09,-0.43
4572872.72,5306159.78,-0.33
4572875.01,5306197.25,-0.3
4572876.75,5306234.53,-0.4
4572872.16,5306276.39,0.09
4572850.66,5306354.73,-0.56
4572854.52,5306312.58,-0.03
4572830.18,5306433.48,-0.38
4572833.27,5306391.02,-0.45
4572861.83,5306191.55,-0.39
4572863.73,5306228.87,-0.41
4572858.86,5306270.62,-0.36
4572836.87,5306348.76,-0.14
4572840.97,5306306.71,-0.33
4572816.02,5306463.83,-0.77
4572815.88,5306427.31,-0.32
4572819.22,5306384.95,-0.24
4572850.94,5306223.32,-0.45
4572845.58,5306264.86,-0.37
4572823.07,5306342.8,-0.57
4572827.43,5306300.84,-0.54
4572801.86,5306494.19,-0.91
4572801.77,5306457.69,-0.95
4572787.7,5306524.54,-1.43
4572773.54,5306554.89,-1.47
4572801.58,5306421.13,-0.33
4572805.18,5306378.89,-0.7
4572832.49,5306259.18,-0.52
4572809.27,5306336.83,-0.64
4572814.04,5306295.05,-0.52
4572787.67,5306488.08,-0.97
4572787.58,5306451.57,-0.54
4572773.57,5306518.46,-1.46
4572759.38,5306585.25,-1.5
4572759.46,5306548.85,-1.44
4572787.28,5306414.97,-0.76
4572791.12,5306372.81,-0.67
4572795.6,5306330.91,-0.55
4572773.58,5306482.01,-0.71
4572773.33,5306445.44,-0.77
4572759.59,5306512.45,-0.84
4572745.22,5306615.6,-1.52
4572745.36,5306579.23,-1.38
4572745.59,5306542.89,-0.95
4572772.97,5306408.8,-1.14
4572777.15,5306366.78,-0.42
4572759.39,5306475.91,-0.77
4572759.07,5306439.3,-1.05
4572745.44,5306506.38,-0.79
4572732.27,5306653.9,-1.48
4572731.26,5306609.62,-1.31
4572731.6,5306573.33,-1.26
4572731.49,5306536.85,-0.84
4572758.7,5306402.64,-0.06
4572745.18,5306469.8,-0.95
4572744.85,5306433.17,0.01
4572731.28,5306500.3,-0.85
4572719.32,5306692.19,-1.43
4572717.68,5306647.64,-1.52
