X,Y,Zexp
0.6,1.748440137,0.049
0.6,1.759377683,0.049
0.6,1.77031523,0.051
0.6,1.781252776,0.055
0.6,1.792190322,0.057
0.6,1.803127868,0.058
0.6,1.814065415,0.061
0.6,1.825002961,0.064
0.6,1.835940507,0.059
0.6,1.846878053,0.054
0.6,1.8578156,0.049
0.6,1.868753146,0.043
0.6,1.879690692,0.038
0.6,1.890628239,0.034
0.6,1.901565785,0.029
0.6,1.912503331,0.026
0.6,1.923440877,0.021
0.6,1.934378424,0.02
0.6,1.94531597,0.02
0.6,1.956253516,0.021
0.6,1.967191062,0.023
0.6,1.978128609,0.026
0.6,1.989066155,0.029
0.6,2.000003701,0.036
0.6,2.010941247,0.041
0.6,2.021878794,0.041
0.6,2.03281634,0.039
0.6,2.043753886,0.041
0.6,2.054691433,0.046
0.6,2.065628979,0.046
0.6,2.076566525,0.044
0.6,2.087504071,0.045
0.6,2.098441618,0.045
0.6,2.109379164,0.044
0.6,2.12031671,0.043
0.6,2.131254256,0.043
0.6,2.142191803,0.044
0.6,2.153129349,0.046
0.6,2.164066895,0.048
0.6,2.175004441,0.051
0.6,2.185941988,0.054
0.6,2.196879534,0.055
0.6,2.20781708,0.055
0.6,2.218754626,0.055
0.6,2.229692173,0.052
0.6,2.240629719,0.051
0.6,2.251567265,0.053
0.6,2.262504812,0.059
0.6,2.273442358,0.062
0.6,2.284379904,0.059
0.6,2.29531745,0.057
0.6,2.306254997,0.059
0.6,2.317192543,0.061
0.6,2.328130089,0.06
0.6,2.339067635,0.061
0.6,2.350005182,0.055
0.6,2.360942728,0.053
0.6,2.371880274,0.053
0.6,2.38281782,0.052
0.6,2.393755367,0.051
0.6,2.404692913,0.048
0.6,2.415630459,0.045
0.6,2.426568006,0.045
0.6,2.437505552,0.043
0.6,2.448443098,0.043
0.6,2.459380644,0.041
0.6,2.470318191,0.041
0.6,2.481255737,0.039
0.6,2.492193283,0.041
0.6,2.503130829,0.042
0.6,2.514068376,0.04
0.6,2.525005922,0.038
0.6,2.535943468,0.038
0.6,2.546881014,0.038
0.6,2.557818561,0.038
0.6,2.568756107,0.039
0.6,2.579693653,0.038
0.6,2.590631199,0.038
0.6,2.601568746,0.038
0.6,2.612506292,0.038
0.6,2.623443838,0.038
0.6,2.634381385,0.037
0.6,2.645318931,0.036
0.6,2.656256477,0.036
0.6,2.667194023,0.036
0.6,2.67813157,0.037
0.6,2.689069116,0.037
0.6,2.700006662,0.036
0.6,2.710944208,0.036
0.6,2.721881755,0.036
0.6,2.732819301,0.036
0.6,2.743756847,0.036
0.6,2.754694393,0.035
0.6,2.76563194,0.036
0.6,2.776569486,0.035
0.6,2.787507032,0.035
0.6,2.798444579,0.035
0.6,2.809382125,0.034
0.6,2.820319671,0.035
0.6,2.831257217,0.035
0.6,2.842194764,0.034
0.6,2.85313231,0.034
0.6,2.864069856,0.035
0.6,2.875007402,0.035
0.7,1,0.033
0.7,1.010989065,0.033
0.7,1.02197813,0.033
0.7,1.032967195,0.034
0.7,1.04395626,0.034
0.7,1.054945325,0.034
0.7,1.06593439,0.034
0.7,1.076923455,0.035
0.7,1.08791252,0.035
0.7,1.098901585,0.035
0.7,1.10989065,0.035
0.7,1.120879716,0.036
0.7,1.131868781,0.036
0.7,1.142857846,0.035
0.7,1.153846911,0.035
0.7,1.164835976,0.035
0.7,1.175825041,0.034
0.7,1.186814106,0.033
0.7,1.197803171,0.033
0.7,1.208792236,0.034
0.7,1.219781301,0.035
0.7,1.230770366,0.035
0.7,1.241759431,0.036
0.7,1.252748496,0.035
0.7,1.263737561,0.036
0.7,1.274726626,0.036
0.7,1.285715691,0.036
0.7,1.296704756,0.036
0.7,1.307693821,0.036
0.7,1.318682886,0.036
0.7,1.329671951,0.036
0.7,1.340661016,0.036
0.7,1.351650082,0.035
0.7,1.362639147,0.036
0.7,1.373628212,0.036
0.7,1.384617277,0.036
0.7,1.395606342,0.037
0.7,1.406595407,0.038
0.7,1.417584472,0.037
0.7,1.428573537,0.038
0.7,1.439562602,0.038
0.7,1.450551667,0.038
0.7,1.461540732,0.038
0.7,1.472529797,0.038
0.7,1.483518862,0.038
0.7,1.494507927,0.038
0.7,1.505496992,0.039
0.7,1.516486057,0.039
0.7,1.527475122,0.039
0.7,1.538464187,0.038
0.7,1.549453252,0.038
0.7,1.560442317,0.039
0.7,1.571431382,0.039
0.7,1.582420448,0.04
0.7,1.593409513,0.041
0.7,1.604398578,0.041
0.7,1.615387643,0.042
0.7,1.626376708,0.043
0.7,1.637365773,0.043
0.7,1.648354838,0.044
0.7,1.659343903,0.044
0.7,1.670332968,0.045
0.7,1.681322033,0.046
0.7,1.692311098,0.046
0.7,1.703300163,0.047
0.7,1.714289228,0.049
0.7,1.725278293,0.053
0.7,1.736267358,0.054
0.7,1.747256423,0.053
0.7,1.758245488,0.056
0.7,1.769234553,0.057
0.7,1.780223618,0.065
0.7,1.791212683,0.068
0.7,1.802201748,0.064
0.7,1.813190813,0.058
0.7,1.824179879,0.055
0.7,1.835168944,0.051
0.7,1.846158009,0.047
0.7,1.857147074,0.044
0.7,1.868136139,0.041
0.7,1.879125204,0.036
0.7,1.890114269,0.033
0.7,1.901103334,0.03
0.7,1.912092399,0.028
0.7,1.923081464,0.026
0.7,1.934070529,0.026
0.7,1.945059594,0.026
0.7,1.956048659,0.027
0.7,1.967037724,0.03
0.7,1.978026789,0.033
0.7,1.989015854,0.036
0.7,2.000004919,0.037
0.7,2.010993984,0.042
0.7,2.021983049,0.046
0.7,2.032972114,0.051
0.7,2.043961179,0.054
0.7,2.054950245,0.055
0.7,2.06593931,0.054
0.7,2.076928375,0.054
0.7,2.08791744,0.054
0.7,2.098906505,0.055
0.7,2.10989557,0.054
0.7,2.120884635,0.053
0.7,2.1318737,0.054
0.7,2.142862765,0.054
0.7,2.15385183,0.049
0.7,2.164840895,0.043
0.7,2.17582996,0.041
0.7,2.186819025,0.041
0.7,2.19780809,0.043
0.7,2.208797155,0.047
0.7,2.21978622,0.053
