x,y,dz
4573200,5305460,0.44700
4573180,5305580,-0.52900
4573170,5305660,-0.18400
4573170,5305620,-0.38800
4573200,5305430,0.78400
4573200,5305390,0.76400
4573180,5305540,-0.30900
4573190,5305490,0.43000
4573180,5305460,0.81200
4573170,5305570,-0.25600
4573150,5305700,-0.03200
4573150,5305650,-0.20100
4573150,5305610,-0.24300
4573180,5305420,0.65700
4573170,5305530,0.38100
4573170,5305490,0.75900
4573170,5305450,0.54800
4573150,5305570,0.33100
4573130,5305730,0.05800
4573140,5305690,0.03100
4573140,5305650,-0.11600
4573140,5305600,0.27400
4573150,5305520,0.69400
4573160,5305480,0.43500
4573140,5305560,0.52500
4573120,5305770,0.21300
4573120,5305730,0.16400
4573120,5305680,-0.02700
4573120,5305640,0.24400
4573120,5305600,0.45800
4573140,5305520,0.30400
4573120,5305550,0.10000
4573100,5305810,0.34200
4573100,5305760,0.28000
4573100,5305720,0.01400
4573100,5305680,0.10300
4573110,5305630,0.18100
4573110,5305590,-0.09700
4573080,5305840,0.49900
4573080,5305800,0.38900
4573090,5305760,0.10700
4573090,5305710,0.03900
4573090,5305670,0.03200
4573090,5305630,-0.42000
4573060,5305880,0.58500
4573070,5305840,0.52600
4573070,5305790,0.13600
4573070,5305750,-0.07800
4573070,5305710,-0.11200
4573070,5305660,-0.56900
4573050,5305910,0.48700
4573050,5305870,0.57500
4573050,5305830,0.19700
4573060,5305790,-0.16800
4573060,5305740,-0.34500
4573060,5305700,-0.73400
4573040,5305940,0.40100
4573040,5305900,0.62300
4573040,5305870,0.20500
4573040,5305820,-0.32200
4573040,5305780,-0.53000
4573040,5305740,-0.88400
4573030,5305970,0.16900
4573030,5305930,0.63800
4573020,5305900,0.29100
4573020,5305860,-0.41600
4573020,5305820,-0.71400
4573030,5305770,-0.96400
4573020,5306000,0.05300
4573010,5305970,0.54900
4573010,5305930,0.30200
4573010,5305890,-0.42700
4573010,5305850,-0.83200
4573010,5305810,-0.97800
4573000,5306030,-0.05200
4572990,5306060,-0.12100
4573000,5306000,0.30300
4573000,5305960,0.31700
4573000,5305920,-0.40300
4573000,5305880,-0.84700
4572990,5305850,-0.90900
4572980,5306100,-0.21100
4572990,5306030,0.15900
4572980,5306060,-0.06600
4572990,5305990,0.22200
4572980,5305950,-0.33000
4572980,5305920,-0.75100
4572980,5305880,-0.76100
4572970,5306130,-0.39700
4572960,5306090,-0.24400
4572970,5306020,0.14000
4572960,5306050,-0.02400
4572970,5305980,-0.27400
4572970,5305950,-0.65700
4572970,5305910,-0.62900
4572950,5306160,-0.58100
4572950,5306120,-0.42700
4572950,5306080,-0.13000
4572960,5306010,-0.18200
4572950,5306050,-0.15900
4572960,5305980,-0.44600
4572950,5305940,-0.39600
4572940,5306150,-0.60600
4572940,5306190,-0.80300
4572940,5306110,-0.31000
4572930,5306080,-0.10100
4572940,5306010,-0.25400
4572930,5306040,0.00500
4572940,5305970,-0.12000
4572930,5306150,-0.39100
4572930,5306180,-0.74700
4572930,5306220,-0.90000
4572920,5306110,-0.04900
4572920,5306070,0.20600
4572930,5306000,0.13000
4572920,5306030,0.52400
4572910,5306140,-0.02400
4572910,5306180,-0.50400
4572920,5306210,-0.87100
4572920,5306250,-1.01000
4572910,5306100,0.49200
4572910,5306060,0.66200
4572900,5306130,0.68400
4572900,5306170,0.07000
4572900,5306210,-0.47900
4572900,5306250,-0.87800
4572900,5306290,-0.89900
4572880,5306320,-0.55400
4572890,5306100,0.91500
4572880,5306130,1.12000
4572890,5306170,0.92300
4572890,5306200,0.10300
4572890,5306240,-0.48500
4572890,5306280,-0.86200
4572860,5306360,-0.22500
4572870,5306320,-0.61900
4572850,5306400,0.25100
4572870,5306160,1.30000
4572880,5306200,1.03000
4572880,5306230,0.22500
4572870,5306280,-0.34500
4572850,5306350,-0.38500
4572850,5306310,-0.14400
4572830,5306430,0.76500
4572830,5306390,-0.05000
4572860,5306190,1.45000
4572860,5306230,1.18000
4572860,5306270,0.45500
4572840,5306350,-0.07800
4572840,5306310,0.64500
4572820,5306460,1.03000
4572820,5306430,0.32400
4572820,5306380,0.09200
4572850,5306220,1.44000
4572850,5306260,1.41000
4572820,5306340,0.64100
4572830,5306300,1.06000
4572800,5306490,1.34000
4572800,5306460,0.65900
4572790,5306520,1.49000
4572770,5306550,1.67000
4572800,5306420,0.15100
4572810,5306380,0.72600
4572830,5306260,0.89600
4572810,5306340,0.85400
4572810,5306300,0.38100
4572790,5306490,0.97400
4572790,5306450,0.24500
4572770,5306520,1.26000
4572760,5306590,1.73000
4572760,5306550,1.52000
4572790,5306410,0.49200
4572790,5306370,0.33800
4572800,5306330,-0.15600
4572770,5306480,0.28200
4572770,5306450,0.29600
4572760,5306510,0.43600
4572750,5306620,1.52000
4572750,5306580,1.68000
4572750,5306540,0.48500
4572770,5306410,-0.13700
4572780,5306370,-0.85000
4572760,5306480,0.02400
4572760,5306440,-0.40600
4572750,5306510,-0.18100
4572730,5306650,0.92400
4572730,5306610,1.76000
4572730,5306570,0.63400
4572730,5306540,-0.33900
4572760,5306400,-1.17000
4572750,5306470,-0.71400
4572740,5306430,-1.28000
4572730,5306500,-0.99900
4572720,5306690,-0.08700
4572720,5306650,1.55000
4572720,5306600,0.69300
4572720,5306570,-0.44100
4572720,5306530,-1.22000
4572730,5306460,-1.22000
4572720,5306490,-1.24000
4572710,5306730,-0.97100
4572700,5306690,1.27000
4572700,5306640,0.89500
4572700,5306600,-0.45800
4572700,5306560,-1.43000
4572700,5306520,-1.30000
4572690,5306770,-1.65000
4572690,5306720,0.60900
4572690,5306680,1.03000
4572690,5306640,-0.35100
4572690,5306590,-1.49000
4572690,5306560,-1.15000
4572680,5306760,0.00600
4572680,5306810,-1.89000
4572670,5306720,1.11000
4572670,5306670,-0.26200
4572670,5306630,-1.37000
4572680,5306590,-0.97600
4572660,5306750,0.88500
4572660,5306800,-0.61800
4572670,5306840,-1.91000
4572650,5306870,-2.01000
4572660,5306710,-0.08800
4572660,5306670,-1.02000
4572660,5306620,-0.58800
4572640,5306900,-2.08000
4572640,5306750,0.12500
4572650,5306790,0.54800
4572650,5306830,-0.93400
